PrescriptionID,ComponentID,LatinName,ChineseName,ComponentQuantity,Barcode
TCMFx6189,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMF6191,TCMH2732,Callicarpae formosanae folium,紫珠叶,TCMH2732,
TCMFx6192,TCMH2273,,香墨,TCMH2273,
TCMF6193,TCMH436,Fructus oryzae germinatus,稻芽,TCMH436,
TCMFx6194,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx6196,TCMH107,,白石脂,TCMH107,
TCMFx6196,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMFx6197,TCMH1026,Gallus gallus domesticus,鸡内金,TCMH1026,ACLB009-06
TCMFx6197,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6198,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6198,TCMH2176,Scolopendra subspinipes mutilans,蜈蚣,TCMH2176,
TCMFx6198,TCMH2329,Realgar,雄黄,TCMH2329,
TCMFx6199,TCMH1605,Lysimachia sikokiana,排草,TCMH1605,
TCMF6200,TCMH621,Fructus tritici levis,浮小麦,TCMH621,
TCMFx6202,TCMH247,,陈皮流浸膏,TCMH247,
TCMFx6203,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6203,TCMH259,Halloysitum rubrum,赤石脂,TCMH259,
TCMFx6204,TCMH1179,Citri exocarpium rubrum,橘红,TCMH1179,
TCMFx6204,TCMH2601,Haematitum,赭石,TCMH2601,
TCMFx6204,TCMH1613,Sal sedatirum,硼砂,TCMH1613,
TCMFx6204,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMFx6204,TCMH933,Talcum,滑石,TCMH933,
TCMFx6204,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6205,TCMH2329,Realgar,雄黄,TCMH2329,
TCMFx6205,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx6205,TCMH233,Bufonis venenum,蟾酥,TCMH233,
TCMFx6205,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMF6206,TCMH287,Clematidis armandii caulis,川木通,TCMH287,
TCMF6208,TCMH621,Fructus tritici levis,浮小麦,TCMH621,
TCMFx6211,TCMH1179,Citri exocarpium rubrum,橘红,TCMH1179,
TCMFx6211,TCMH2601,Haematitum,赭石,TCMH2601,
TCMFx6211,TCMH1613,Sal sedatirum,硼砂,TCMH1613,
TCMFx6211,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMFx6211,TCMH933,Talcum,滑石,TCMH933,
TCMFx6211,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMF6212,TCMH1919,Diospyros kaki thunb,柿饼,TCMH1919,
TCMFx6213,TCMH2329,Realgar,雄黄,TCMH2329,
TCMFx6213,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6213,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx6213,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6213,TCMH233,Bufonis venenum,蟾酥,TCMH233,
TCMFx6213,TCMH1026,Gallus gallus domesticus,鸡内金,TCMH1026,ACLB009-06
TCMFx6215,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6215,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx6215,TCMH2329,Realgar,雄黄,TCMH2329,
TCMFx6215,TCMH1026,Gallus gallus domesticus,鸡内金,TCMH1026,ACLB009-06
TCMFx6215,TCMH1679,Calomelas,轻粉,TCMH1679,
TCMFx6215,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6216,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx6216,TCMH1113,Bungarus parvus,金钱白花蛇,TCMH1113,
TCMFx6216,TCMH2176,Scolopendra subspinipes mutilans,蜈蚣,TCMH2176,
TCMFx6217,TCMH1639,,葡萄酸锌,TCMH1639,
TCMFx6218,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6220,TCMH1552,Sal ammoniaci,硇砂,TCMH1552,
TCMFx6220,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6220,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6222,TCMH1749,,肉座菌科植物子座,TCMH1749,
TCMFx6223,TCMH1613,Sal sedatirum,硼砂,TCMH1613,
TCMFx6224,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx6224,TCMH293,Manis pentadactyla,穿山甲,TCMH293,GBMA15413-17
TCMFx6224,TCMH691,,狗骨,TCMH691,
TCMFx6224,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6224,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6225,TCMH1026,Gallus gallus domesticus,鸡内金,TCMH1026,ACLB009-06
TCMFx6225,TCMH2065,,碳酸氢钠,TCMH2065,
TCMFx6225,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6229,TCMH1729,,人参皂甙,TCMH1729,
TCMFx6229,TCMH54,Alumen,白矾,TCMH54,
TCMFx6231,TCMH1587,‎Smilax riparia,牛尾蕨,TCMH1587,"GBVX6476-15, GBVX6482-15"
TCMFx6231,TCMH861,Ichnocarpus oliganthus,红杜仲,TCMH861,
TCMFx6231,TCMH745,,鬼画符,TCMH745,
TCMFx6231,TCMH1826,Fortunella hindsii,山桔叶,TCMH1826,
TCMFx6231,TCMH372,Neocinnamomum lecomtei liou,大力王,TCMH372,
TCMFx6231,TCMH484,Claoxylon indicum,丢了棒,TCMH484,
TCMFx6231,TCMH485,Solanum coagulans forsk,丁茄根,TCMH485,
TCMFx6232,TCMH1026,Gallus gallus domesticus,鸡内金,TCMH1026,ACLB009-06
TCMFx6232,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6234,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMFx6234,TCMH2681,Caulis bambusae in taeniam,竹茹,TCMH2681,
TCMFx6235,TCMH2325,Ainsliaea fragrans champ,杏香兔耳风,TCMH2325,
TCMF6236,TCMH541,Colla corii asini,阿胶,TCMH541,
TCMFx6237,TCMH1722,,人参果总皂甙,TCMH1722,
TCMFx6238,TCMH1587,‎Smilax riparia,牛尾蕨,TCMH1587,"GBVX6476-15, GBVX6482-15"
TCMFx6238,TCMH861,Ichnocarpus oliganthus,红杜仲,TCMH861,
TCMFx6238,TCMH745,,鬼画符,TCMH745,
TCMFx6238,TCMH1826,Fortunella hindsii,山桔叶,TCMH1826,
TCMFx6238,TCMH372,Neocinnamomum lecomtei liou,大力王,TCMH372,
